2015-08-28 18:04:42 172.17.100.8 GET / - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 - 200 0 0 46
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/style.css - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 46
2015-08-28 18:04:42 172.17.100.8 GET /includes/colorbox/jquery.colorbox.js - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /includes/javascript/main_page.js - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/functions.js - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /includes/javascript/rollover.js - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/jquery.js - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 31
2015-08-28 18:04:42 172.17.100.8 GET /includes/colorbox/colorbox.css - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/browseBottom.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/byCategory.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrBrowseMagazines.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/bySubscriptionPrice.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/satisfaction.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/centerBlueTop.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-U/usweek/usweek-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-D/dwell/dwell-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrWhatsHot.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrStaffFavorite.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrOtherHotTitles.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-Y/yogajo/yogajo-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-M/maxim/maxim-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-P/popula/popula-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-B/brgde/brgde-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrOtherStaffFavorites.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/riskFree.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 218
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-S/shape/shape-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-T/travls/travls-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-M/martha/martha-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-V/vogue/vogue-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/centerBlueBtm.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrBestSellers.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-B/bethom/bethom-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
