2015-08-28 18:11:47 172.17.100.8 GET /index.php ccmode=1 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 - 200 0 0 46
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/style.css - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /includes/colorbox/colorbox.css - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/functions.js - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/jquery.js - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /includes/javascript/rollover.js - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /includes/javascript/main_page.js - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /includes/colorbox/jquery.colorbox.js - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/searchBtn.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/satisfaction.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/hdrBrowseMagazines.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/riskFree.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/logo.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-Y/yogajo/yogajo-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/topNavSignInBg.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/topNavSearchBg.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-V/vogue/vogue-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-T/travls/travls-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-P/popula/popula-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-M/martha/martha-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-S/shape/shape-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-B/brgde/brgde-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 46
2015-08-28 18:11:47 172.17.100.8 GET /images/orderpagecvr/CVR-M/maxim/maxim-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
