2015-08-28 18:04:55 172.17.100.8 GET /express/defaultr.aspx partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 - 302 0 0 109
2015-08-28 18:04:56 172.17.100.8 GET /Express/default.aspx partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 - 200 0 0 343
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/js/jquery.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/js/scripts.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/greybox/gb_styles.css - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/css/styles.css - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/js/jquery.tipTip.minified.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/css/tipTip.css - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/greybox/AJS_fx.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/js/init.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/includes/greybox/AJS.js - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
