2015-08-28 18:11:16 172.17.100.8 GET /corpinfo/customer_care - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 - 200 0 0 46
2015-08-28 18:11:16 172.17.100.8 GET /templates/smartsub/redesign/style.css - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /includes/colorbox/colorbox.css - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /templates/smartsub/redesign/jquery.js - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /templates/smartsub/redesign/functions.js - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /includes/javascript/main_page.js - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /includes/javascript/rollover.js - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:16 172.17.100.8 GET /includes/colorbox/jquery.colorbox.js - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/searchBtn.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/hdrCustomerCare.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/footerBtm.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
